name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,mileage_kmpl,engine_cc,max_power_bhp,torque_nm,log_selling_price
Honda City i DTEC VX,2015,630000,135000,Diesel,Individual,Manual,First Owner,5,25.1,1498,98.6,200.0,13.353475098367715
Maruti Wagon R AMT VXI,2018,448000,30000,Petrol,Individual,Automatic,First Owner,5,20.51,998,67.0,90.0,13.012548511397123
Volkswagen Ameo 1.5 TDI Comfortline,2017,500000,80000,Diesel,Individual,Manual,First Owner,5,21.66,1498,108.62,250.0,13.122363377404328
Maruti Vitara Brezza ZDi Plus AMT,2019,1025000,9850,Diesel,Individual,Automatic,First Owner,5,24.3,1248,88.5,200.0,13.840203170554645
Maruti Swift VDI Deca,2016,630000,70000,Diesel,Individual,Manual,First Owner,5,25.2,1248,74.0,190.0,13.353475098367715
Toyota Fortuner 4x4 MT,2015,1700000,78000,Diesel,Individual,Manual,Second Owner,7,12.55,2982,168.5,343.0,14.346138809026444
Maruti Swift Star VDI,2013,450000,120000,Diesel,Individual,Manual,Second Owner,5,22.9,1248,74.0,190.0,13.017002861746503
Maruti Ertiga ZXI,2012,450000,120000,Petrol,Individual,Manual,Second Owner,7,16.02,1373,93.7,130.0,13.017002861746503
Tata Indica DLS,2003,50000,70000,Diesel,Individual,Manual,First Owner,5,19.2,1248,82.0,180.0,10.819778284410283
Volkswagen Vento Diesel Highline,2013,450000,170000,Diesel,Individual,Manual,First Owner,5,20.54,1598,103.6,250.0,13.017002861746503
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,1200000,140000,Diesel,Individual,Manual,First Owner,8,12.99,2494,100.6,200.0,13.997832114758229
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,90000,Diesel,Individual,Manual,First Owner,5,22.77,1498,98.59,205.0,13.321214236149494
BMW X1 sDrive20i xLine,2016,2500000,30000,Petrol,Individual,Automatic,Second Owner,5,15.71,1998,189.0,280.0,14.73180128983843
Maruti Celerio ZXI MT BSIV,2017,484999,10000,Petrol,Dealer,Manual,First Owner,5,23.1,998,67.04,90.0,13.091902108061824
Datsun GO A Petrol,2016,275000,49000,Petrol,Dealer,Manual,First Owner,5,19.02,1198,67.05,104.0,12.524526376648708
Maruti Alto 800 VXI BSIV,2016,315000,32000,Petrol,Dealer,Manual,First Owner,5,24.7,796,47.3,69.0,12.66032791780777
Maruti Alto 800 LXI BSIV,2016,275000,38000,Petrol,Dealer,Manual,First Owner,5,24.7,796,47.3,69.0,12.524526376648708
Maruti Swift VDI BSIV W ABS,2015,475000,78000,Diesel,Dealer,Manual,First Owner,5,19.2,1248,82.0,180.0,13.071070083016778
Hyundai i10 Era 1.1,2012,290000,28000,Petrol,Dealer,Manual,First Owner,5,19.81,1086,68.05,99.04,12.577636201962656
Maruti Omni 8 Seater BSIV,2017,280000,32000,Petrol,Dealer,Manual,First Owner,5,14.0,796,35.0,59.841,12.542544882151386
Maruti Wagon R LXI LPG BSIV,2010,225000,44000,LPG,Dealer,Manual,First Owner,5,18.34,998,58.2,77.0,12.323855681186558
Volkswagen Polo 1.2 MPI Comfortline,2015,455000,42000,Petrol,Dealer,Manual,First Owner,5,16.47,1198,74.0,110.0,13.028052697933088
Hyundai i10 Magna 1.1L,2015,351000,45000,Petrol,Dealer,Manual,Second Owner,5,19.81,1086,68.05,99.04,12.768541502448002
Volkswagen Vento Petrol Highline,2012,535000,12000,Petrol,Dealer,Manual,Second Owner,5,15.04,1598,103.6,153.0,13.190022025878143
Maruti Zen Estilo LXI BSIII,2009,175000,55500,Petrol,Dealer,Manual,First Owner,5,18.2,998,67.1,90.0,12.072541252905651
Hyundai i20 Asta Optional with Sunroof 1.2,2013,525000,61500,Petrol,Dealer,Manual,First Owner,5,18.5,1197,82.85,113.7,13.17115354157376
Maruti Swift Dzire LDI,2016,600000,150000,Diesel,Individual,Manual,First Owner,5,26.59,1248,74.0,190.0,13.304684934198283
Hyundai Xcent 1.2 Kappa SX Option AT,2016,565000,72000,Petrol,Dealer,Automatic,First Owner,5,19.1,1197,82.0,114.0,13.244581010128577
Maruti Alto LX BSIII,2008,120000,68000,Petrol,Dealer,Manual,Third Owner,5,19.7,796,46.3,62.0,11.695247021764184
Hyundai i20 1.4 Asta Option,2017,725000,110000,Diesel,Individual,Manual,First Owner,5,22.54,1396,88.73,219.7,13.493926933836812
Maruti Wagon R VXI,2009,185000,77000,Petrol,Dealer,Manual,Second Owner,5,21.79,998,67.05,90.0,12.128111104060462
Tata Manza Aura (ABS) Quadrajet,2010,200000,100000,Diesel,Individual,Manual,Second Owner,5,18.8,1248,90.0,200.0,12.206072645530174
Maruti Swift VXI,2019,615000,10000,Petrol,Individual,Manual,First Owner,5,21.21,1197,81.8,113.0,13.329377546788654
Maruti Baleno Zeta 1.2,2018,610000,35000,Petrol,Individual,Manual,First Owner,5,21.4,1197,83.1,115.0,13.321214236149494
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,625000,70000,Diesel,Individual,Automatic,Second Owner,8,11.79,2179,120.0,290.0,13.345506928718539
Ford Freestyle Titanium Petrol BSIV,2020,400000,5000,Petrol,Individual,Manual,Second Owner,5,19.0,1194,94.68,120.0,12.89921982609012
Hyundai Verna VTVT 1.6 SX,2017,866000,37800,Petrol,Individual,Manual,First Owner,5,17.0,1591,121.3,151.0,13.671640187544572
Volkswagen Passat 1.8 TSI MT,2010,700000,114000,Petrol,Individual,Manual,First Owner,5,14.3,1798,160.0,250.0,13.458835614025542
Mahindra XUV500 W11 Option AWD,2019,1700000,32000,Diesel,Individual,Manual,First Owner,7,15.1,2179,155.0,360.0,14.346138809026444
Tata Indigo CS LS (TDI) BS-III,2016,375000,100000,Diesel,Individual,Manual,First Owner,5,19.09,1405,69.01,135.0,12.834681304952548
Hyundai Verna 1.6 SX,2013,522000,150000,Diesel,Individual,Manual,Second Owner,5,22.32,1582,126.32,259.8,13.165422866864775
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,451999,69000,Diesel,Individual,Manual,First Owner,5,21.9,1396,88.76,219.6,13.02143524642254
Toyota Corolla Altis G,2009,300000,100000,Petrol,Individual,Manual,Second Owner,5,14.53,1798,138.1,173.0,12.611537753638338
Maruti Celerio VXI,2020,475000,13000,Petrol,Individual,Manual,First Owner,5,21.63,998,67.04,90.0,13.071070083016778
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,780000,60000,Diesel,Individual,Manual,First Owner,5,24.3,1248,88.5,200.0,13.567049198665774
Maruti Swift Dzire VXI,2017,595000,40000,Petrol,Individual,Manual,First Owner,5,20.85,1197,83.14,115.0,13.296316684527767
Maruti Swift VDI BSIV,2010,300000,120000,Diesel,Individual,Manual,Second Owner,5,19.2,1248,82.0,180.0,12.611537753638338
Nissan Terrano XL 85 PS,2014,400000,70000,Diesel,Individual,Manual,Third Owner,5,20.45,1461,83.8,200.0,12.89921982609012
Hyundai Creta 1.6 CRDi SX,2016,1140000,50000,Diesel,Individual,Manual,First Owner,5,19.67,1582,126.2,259.9,13.946538820370678
Maruti Swift Dzire VDi,2012,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,5,19.3,1248,73.9,190.0,12.821258284620408
Renault KWID 1.0,2018,350000,25000,Petrol,Individual,Manual,First Owner,5,23.01,999,67.0,91.0,12.765688433465597
Maruti Celerio VXI,2015,360000,40000,Petrol,Individual,Manual,Second Owner,5,23.1,998,67.04,90.0,12.793859310432293
Maruti Alto LXi,2008,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,5,19.7,796,46.3,62.0,11.56171562913966
Hyundai Santro Xing GLS,2009,135000,80000,Petrol,Individual,Manual,Second Owner,5,17.92,1086,62.1,96.1,11.813030057420567
Maruti Ertiga VDI,2015,700000,110000,Diesel,Individual,Manual,Second Owner,7,20.77,1248,88.76,200.0,13.458835614025542
Honda Amaze S i-VTEC,2019,690000,1303,Petrol,Dealer,Manual,First Owner,5,17.8,1198,86.7,109.0,13.444446876573442
Audi Q5 35TDI Premium Plus,2018,3975000,31800,Diesel,Dealer,Automatic,First Owner,5,17.01,1968,188.0,400.0,15.19553530607057
Lexus ES 300h,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,5,22.37,2487,214.56,202.0,15.454507272639919
Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,5,19.33,1999,177.0,430.0,14.978661367769956
Land Rover Discovery Sport TD4 SE,2019,4500000,21000,Diesel,Dealer,Automatic,First Owner,7,12.83,1999,148.31,382.0,15.319587954740548
Mercedes-Benz S-Class S 350 CDI,2017,6000000,37000,Diesel,Dealer,Automatic,First Owner,5,13.5,2987,254.79,620.0,15.60727002719233
BMW 5 Series 520d Sport Line,2018,3790000,29500,Diesel,Dealer,Automatic,First Owner,5,22.48,1995,187.74,400.0,15.147876577058609
BMW X1 sDrive 20D xLine,2017,2150000,27000,Diesel,Dealer,Automatic,First Owner,5,19.2,1248,82.0,180.0,14.580978400103845
BMW X4 M Sport X xDrive20d,2019,5800000,7500,Diesel,Dealer,Automatic,First Owner,5,16.78,1995,190.0,400.0,15.573368475516649
Skoda Superb LK 1.8 TSI AT,2018,1864999,50000,Petrol,Dealer,Automatic,First Owner,5,14.67,1798,177.46,180.0,14.43877107486688
Mercedes-Benz E-Class E250 Edition E,2016,2700000,35000,Diesel,Dealer,Automatic,First Owner,5,15.0,2143,204.0,500.0,14.808762330974558
MG Hector Sharp AT BSIV,2019,1750000,19000,Petrol,Dealer,Automatic,First Owner,5,13.96,1451,141.0,250.0,14.375126345899696
Toyota Corolla Altis 1.8 G CVT,2013,625000,39000,Petrol,Dealer,Automatic,First Owner,5,14.28,1798,138.03,173.0,13.345506928718539
Volvo XC40 D4 R-Design,2018,3400000,22000,Diesel,Dealer,Automatic,First Owner,5,18.0,1969,190.0,400.0,15.03928598958639
Audi Q7 35 TDI Quattro Premium,2015,2650000,53000,Diesel,Dealer,Automatic,First Owner,7,12.07,2967,241.4,550.0,14.790070197962406
Maruti Ciaz ZDi,2015,535000,40000,Diesel,Dealer,Manual,First Owner,5,26.21,1248,88.5,200.0,13.190022025878143
Mercedes-Benz S-Class S 350 CDI,2017,5850000,47000,Diesel,Dealer,Automatic,First Owner,5,13.5,2987,282.0,490.0,15.58195221920804
BMW 5 Series 523i,2010,975000,72200,Petrol,Dealer,Automatic,Second Owner,5,10.8,2497,150.0,250.0,13.790192749979985
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,5,13.6,1999,177.0,430.0,14.780591454007862
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,811000,11000,Petrol,Dealer,Manual,First Owner,5,17.0,1198,108.5,170.0,13.60602333309755
Volkswagen Vento Petrol Highline,2011,375000,49000,Petrol,Individual,Manual,First Owner,5,15.04,1598,103.6,153.0,12.834681304952548
Hyundai Elantra SX,2012,550000,95000,Petrol,Individual,Manual,First Owner,5,16.3,1797,147.5,177.5,13.217673557208654
Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,5,14.3,1598,103.5,153.0,13.37700559577791
Mercedes-Benz CLA 200 CGI Sport,2018,2550000,18000,Petrol,Dealer,Automatic,First Owner,5,15.04,1991,183.0,300.0,14.75160391713461
Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,2700000,16000,Petrol,Dealer,Automatic,First Owner,5,14.74,1991,181.04,300.0,14.808762330974558
Honda City V AT,2017,875000,18000,Petrol,Dealer,Automatic,First Owner,5,15.6,1497,116.3,146.0,13.681979165339751
Toyota Glanza V CVT,2019,894999,9654,Petrol,Dealer,Automatic,First Owner,5,19.56,1197,81.8,113.0,13.704577879937933
Maruti Alto K10 VXI,2011,175000,11000,Petrol,Dealer,Manual,First Owner,5,23.95,998,67.05,90.0,12.072541252905651
Maruti Swift VXI,2012,340000,24300,Petrol,Dealer,Manual,First Owner,5,21.21,1197,81.8,113.0,12.736700896592344
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,5,21.5,1497,108.5,260.0,13.840203170554645
BMW 3 Series 320d Luxury Line,2016,2150000,30000,Diesel,Dealer,Automatic,First Owner,5,22.69,1995,190.0,400.0,14.580978400103845
Toyota Camry 2.5 Hybrid,2016,1900000,41000,Petrol,Dealer,Automatic,First Owner,5,19.16,2494,157.7,213.0,14.457364444136669
BMW 5 Series 520d Luxury Line,2016,2900000,12000,Diesel,Dealer,Automatic,First Owner,5,18.12,1995,190.0,400.0,14.880221294956703
Toyota Camry W4 (AT),2009,450000,71000,Petrol,Dealer,Automatic,First Owner,5,12.1,2362,164.7,224.0,13.017002861746503
Maruti Ertiga BSIV ZXI Plus,2016,850000,20000,Petrol,Individual,Manual,First Owner,7,17.5,1373,91.1,130.0,13.652991628466498
Volvo XC90 T8 Excellence BSIV,2017,10000000,30000,Petrol,Individual,Automatic,First Owner,4,42.0,1969,400.0,640.0,16.11809565095832
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,575000,9500,Petrol,Individual,Manual,First Owner,5,18.16,1196,86.8,112.0,13.262125319779487
Ford Figo Diesel LXI,2011,160000,120000,Diesel,Individual,Manual,First Owner,5,20.0,1399,68.0,160.0,11.982929094215963
Maruti Swift VXI Optional,2015,515000,36600,Petrol,Individual,Manual,First Owner,5,20.4,1197,81.8,113.0,13.151922179645874
Maruti Wagon R AMT VXI,2015,390000,50000,Petrol,Individual,Automatic,Second Owner,5,20.51,998,67.0,90.0,12.873902018105829
Hyundai i20 Magna 1.2,2016,550000,14000,Petrol,Individual,Manual,Second Owner,5,18.6,1197,81.83,114.7,13.217673557208654
Maruti 800 Std,1999,40000,40000,Petrol,Individual,Manual,Second Owner,4,16.1,796,37.0,59.0,10.596634733096073
Maruti Ritz VDi,2010,220000,120000,Diesel,Individual,Manual,First Owner,5,21.1,1248,73.9,113.0,12.301382825334498
Hyundai Grand i10 Magna,2015,425000,70000,Petrol,Individual,Manual,First Owner,5,18.9,1197,82.0,114.0,12.959844447906553
Volkswagen Ameo 1.0 MPI Trendline,2019,480000,13000,Petrol,Individual,Manual,First Owner,5,19.44,999,75.0,95.0,13.081541382884074
Maruti Swift Dzire VXI,2014,487000,35000,Petrol,Individual,Manual,First Owner,5,19.1,1197,85.8,114.0,13.096019402064726
Hyundai Xcent 1.2 Kappa S,2016,386000,44000,Petrol,Individual,Manual,Second Owner,5,19.1,1197,82.0,114.0,12.863592648446968
Honda City 1.5 EXI,2005,100000,120000,Petrol,Individual,Manual,Second Owner,5,13.0,1493,100.0,128.511,11.512925464970229
Toyota Corolla Altis Diesel D4DG,2010,300000,60000,Diesel,Individual,Manual,First Owner,5,21.43,1364,87.2,205.0,12.611537753638338
Daewoo Matiz SD,2000,100000,60000,Petrol,Individual,Manual,First Owner,5,18.5,796,53.0,71.0,11.512925464970229
Toyota Fortuner 4x2 Manual,2014,1750000,30000,Diesel,Individual,Manual,Second Owner,7,13.0,2982,168.5,343.0,14.375126345899696
Mahindra KUV 100 mFALCON G80 K8,2016,450000,15000,Petrol,Individual,Manual,Second Owner,6,18.15,1198,82.0,115.0,13.017002861746503
Tata Zest Quadrajet 1.3 75PS XM,2017,490000,90000,Diesel,Individual,Manual,First Owner,5,22.95,1248,74.0,190.0,13.102160670086809
Honda City 1.5 S MT,2009,345000,47000,Petrol,Individual,Manual,Second Owner,5,17.0,1497,118.0,146.0,12.751299696013497
Maruti Zen LXI,2005,85000,90000,Petrol,Individual,Manual,First Owner,5,17.3,993,60.0,78.0,11.350406535472453
Hyundai Getz GLS,2005,65000,86000,Petrol,Individual,Manual,First Owner,5,15.3,1341,83.0,115.0,11.082142548877775
Maruti Ciaz 1.3 Alpha,2017,800000,37000,Diesel,Individual,Manual,First Owner,5,28.09,1248,88.5,200.0,13.592367006650065
Tata Tigor 1.2 Revotron XZ,2019,520000,14000,Petrol,Individual,Manual,First Owner,5,20.3,1199,84.0,114.0,13.16158409055761
Maruti Ertiga VDI,2015,580000,70000,Diesel,Individual,Manual,First Owner,7,20.77,1248,88.76,200.0,13.270783382522602
Toyota Etios GD,2012,235000,120000,Diesel,Individual,Manual,First Owner,5,19.2,1248,82.0,180.0,12.367340793126296
Honda City i VTEC S,2015,600000,50000,Petrol,Individual,Manual,First Owner,5,17.4,1497,117.3,145.0,13.304684934198283
Maruti Wagon R LXI CNG,2016,360000,50000,CNG,Individual,Manual,First Owner,5,18.62,998,58.16,77.0,12.793859310432293
Maruti Swift Dzire VXI,2017,550000,50000,Petrol,Individual,Manual,First Owner,5,20.85,1197,83.14,115.0,13.217673557208654
Maruti Omni E 8 Str STD,2003,40000,90000,Petrol,Individual,Manual,Second Owner,5,19.2,1248,82.0,180.0,10.596634733096073
Maruti Wagon R AMT VXI,2018,420000,35000,Petrol,Individual,Automatic,First Owner,5,20.51,998,67.0,90.0,12.948009990259552
Maruti Swift Dzire VXI 1.2,2017,550000,20000,Petrol,Individual,Manual,First Owner,5,21.21,1197,81.8,113.0,13.217673557208654
Maruti Swift Dzire AMT VXI BS IV,2018,700000,7800,Petrol,Individual,Automatic,First Owner,5,22.0,1197,81.8,113.0,13.458835614025542
Maruti Swift VXI Optional,2017,500000,20000,Petrol,Individual,Manual,First Owner,5,20.4,1197,81.8,113.0,13.122363377404328
Tata Hexa XE,2019,1250000,15000,Diesel,Individual,Manual,First Owner,7,17.6,2179,147.94,320.0,14.038654109278484
Hyundai i20 Magna,2013,320000,31377,Petrol,Individual,Manual,Second Owner,5,18.5,1197,82.85,113.7,12.676076274775909
Maruti Swift Dzire VDI,2018,700000,50000,Diesel,Individual,Manual,First Owner,5,28.4,1248,74.02,190.0,13.458835614025542
Maruti Wagon R VXI BS IV,2015,290000,60000,Petrol,Individual,Manual,First Owner,5,20.51,998,67.04,90.0,12.577636201962656
Toyota Corolla Altis 1.8 VL AT,2012,550000,100000,Petrol,Individual,Automatic,First Owner,5,14.53,1794,138.1,173.0,13.217673557208654
Maruti Baleno Alpha Automatic,2018,830000,5000,Petrol,Individual,Automatic,First Owner,5,21.4,1197,83.1,115.0,13.62918097977278
Tata Safari Storme EX,2017,800000,60000,Diesel,Individual,Manual,First Owner,7,14.1,2179,147.94,320.0,13.592367006650065
Datsun GO T BSIV,2017,329000,80000,Petrol,Individual,Manual,Second Owner,5,20.63,1198,67.0,104.0,12.70381302974751
Maruti Vitara Brezza VDi Option,2017,775000,75000,Diesel,Individual,Manual,First Owner,5,24.3,1248,88.5,200.0,13.560618308335483
Hyundai Xcent 1.2 VTVT SX,2020,524000,32000,Petrol,Individual,Manual,First Owner,5,20.14,1197,81.86,113.75,13.169246963303179
Maruti Alto 800 LXI,2015,245000,40000,Petrol,Individual,Manual,First Owner,5,22.74,796,47.3,69.0,12.409013489526863
Hyundai i20 1.2 Sportz,2012,275000,93000,Petrol,Individual,Manual,Second Owner,5,17.0,1197,80.0,111.834,12.524526376648708
Tata Zest Revotron 1.2 XT,2018,520000,60000,Petrol,Individual,Manual,First Owner,5,17.57,1193,88.7,140.0,13.16158409055761
